questionFormat,answerFormat
Do I need a C- or better in [COURSE] to take any other classes?,"Yes, a C- or better in [CLASS_NAME] is required to take [CLASS_CODE_LIST]."
Do I need a C- or better in [COURSE] to take any other classes?,"Yes, a C- or better in [CLASS_CODE] is required to take [CLASS_CODE_LIST]."
What is the shortest path to taking [COURSE]?,The shortest path to taking [CLASS_NAME] is by taking [CLASS_CODE_LIST].
Which classes require [COURSE] standing?,[CLASS_NAME_LIST] require [CLASS_QUALIFICATION].
Which classes do not require [COURSE] standing?,[CLASS_NAME_LIST] do not require [CLASS_QUALIFICATION].
When do most people take [COURSE]?,Most people take [CLASS_NAME] during [QUARTER] of their [CLASS_QUALIFICATION] year.
Is [COURSE] limited in total credit?,[CLASS_NAME] is limited in total credit.
Is [COURSE] limited in total credit?,[CLASS_CODE] is limited in total credit.
Can I select [COURSE] as a tech elective?,"Yes, [CLASS_NAME] can be selected as a technical elective."
What is the structure of [COURSE]?,[CLASS_NAME] is a [STRUCTURE] class.
What is the structure of [COURSE]?,[CLASS_CODE] is a [STRUCTURE] class.
How many units is [COURSE]?,[CLASS_NAME] is worth [NUMBER] units.
How many units is [COURSE]?,[CLASS_CODE] is worth [NUMBER] units.
Is [COURSE] crosslisted in another department?,"Yes, [CLASS_NAME] is crosslisted in another department."
Is [COURSE] crosslisted in another department?,"Yes, [CLASS_CODE] is crosslisted in another department."
Is [COURSE] credit/no credit grading only?,"Yes, [CLASS_NAME] is credit/no credit grading only."
Is [COURSE] credit/no credit grading only?,"Yes, [CLASS_CODE] is credit/no credit grading only."
What is [COURSE] about?,[CLASS_NAME] covers the following topics:  [SUBJECT_MATTER_LIST].
What is [COURSE] about?,[CLASS_CODE] covers the following topics:  [SUBJECT_MATTER_LIST].
What topics are covered in [COURSE]?,[CLASS_NAME] covers the following topics:  [SUBJECT_MATTER_LIST].
What topics are covered in [COURSE]?,[CLASS_CODE] covers the following topics:  [SUBJECT_MATTER_LIST].
What is the course title for [COURSE]?,The course title for [CLASS_CODE] is [CLASS_NAME].
What is [COURSE] also called?,[CLASS_CODE] is also called [CLASS_NAME].
What is the name of [COURSE]?,The course title for [CLASS_CODE] is [CLASS_NAME].
What is the course code for [COURSE]?,The course code for [CLASS_NAME] is [CLASS_CODE].
Does [COURSE] include group work?,Yes. [CLASS_NAME] includes group work.
Is [COURSE] project based?,Yes. [CLASS_NAME] is project based.
What class should I take after [COURSE]?,After taking [CLASS_NAME] you could take [CLASS_NAME].
What classes build off [COURSE]?,The following classes build off of [CLASS_NAME]: [CLASS_NAME_LIST].
Which classes are most similar to [COURSE]?,The following classes are most similar to [CLASS_NAME]: [CLASS_NAME_LIST].
What classes should I take with [COURSE]?,The following classes go well with [CLASS_NAME]: [CLASS_NAME_LIST].
How many units do I need to take to be considered a [COURSE]?,"In order to be considered a [class-level], you have to take [class-level-units]."
Can I take [COURSE] credit no credit?,Yes or No
Can I take [COURSE] pass-fail?,Yes or No
Is [COURSE] a required course?,Yes or No
Do I have to take [COURSE]?,Yes or No
How many hours a week is [COURSE]?,Number
How much time is spent in [COURSE] per week?,Number of hours
How many times is [COURSE] offered per year?,Number
In how many quarters is [COURSE] offered?,Number
When is [COURSE] offered?,String
When is [COURSE] available?,String
When can I take [COURSE]?,String
Does [COURSE] fulfill more than one requirement?,Yes or No
Can I use [COURSE] to fulfill more than one requirement?,
How many units is [COURSE]?,Number
How many units does [COURSE] have?,Number
How many units does [COURSE] fulfill?,Number
What does [COURSE] fulfill?,[Course.fulfill]
Does [COURSE] fulfill anything?,Yes or No
What requirements does [COURSE] fulfill?,[Requirement(s)]
How many lectures does [COURSE] have?,Number
How many times a week does [COURSE] week?,Number
How many lectures make up [COURSE]?,Number
Does [COURSE] have a lab?,Yes or No
Do I have to take a lab with [COURSE]?,Yes or No
How many labs does [COURSE] have?,Number
Does [COURSE] have any prerequisites?,Yes or No
How many prerequisites does [COURSE] have?,Number
Are there any prerequisites for [COURSE]?,Yes or No
What classes can I take instead of [COURSE]?,[Course(s)]or None
What are alternatives to [COURSE]?,[Course(s)]or None
Are there any alternatives for [COURSE]?,Yes or No
How many alternative does [COURSE] Have?,Number
Can I take something else instead of [COURSE]?,Yes or No
What courses substitute [COURSE]?,[Course(s)]or None
What STAT courses have [COURSE] as a prereq?,STAT courses requiring [COURSE]: [COURSE]*
What courses do you need to take before taking [COURSE]?,STAT courses required before taking [COURSE]: [COURSE]*
Does [COURSE] have any preqs?,Yes:/No. [COURSE]*
Is [COURSE] being offered this quarter?,Yes/No
Can I take [COURSE] this quarter?,Yes/No
Do I need to take [COURSE] to major in Statistics?,What term did/will you become a Statistics major? (Ex: Winter 2019) -> [TERM_YEAR] -> Yes/No.
Is [COURSE] necessary to get a stats degree?,What term did/will you become a Statistics major? (Ex: Winter 2019) -> [TERM_YEAR] -> Yes/No.
When's the next time I can take [COURSE]?,[COURSE] is expected to be offered during [TERM].
Is [COURSE] being offered soon?,[COURSE] is expected to be offered during [TERM].
Does [COURSE] help me get a stats minor?,Yes/No
Does [COURSE] contribute to my stats minor?,Yes/No
Has [COURSE] ever been offered by the stats department?,Yes/No records of [COURSE] being offered exist after [YEAR].
When has [COURSE] been offered?,[YEAR]*
How many units is [COURSE]?,[NUMBER]
What is the name of [COURSE]?,[NAME]
What class is [COURSE]?,[NAME]
What is the description of [COURSE]?,[COURSE] ([NAME]): [DESCRIPTION]
What do you learn in [COURSE]?,[COURSE] ([NAME]): [DESCRIPTION]
What term is [COURSE] typically offered?,[TERM]
When is [COURSE] usually offered?,[TERM]
Does [COURSE] fulfill any GE requirements?,"(Yes, [GE_AREA])/No"
How many prerequisite classes are needed for me to take [COURSE]?,"In order to take this course, a student would need to fulfill the [NUMBER] prerequisites."
List classes below [COURSE].,[COURSE]*
List classes above [COURSE].,[COURSE]*
Does [COURSE] require any MATH classes?,"(Yes, it requires [COURSE]*) / No"
Which classes have a [COURSE] prerequisite?,[COURSE]*
Does [COURSE] require instructor approval?,Yes/No
Is [COURSE] being offered next quarter?,Yes/No.
Is [COURSE] a graduate level course?,Yes/No.
Is [COURSE] a undergraduate level course?,Yes/No.
Does [COURSE] have non-statistics prerequisites?,Yes/No.
Does [COURSE] have non-statistics and non-math prerequisites?,Yes/No.
Is [COURSE] part of the data science minor?,Yes/No.
What teachers teach [COURSE] this quarter?,[TEACHER]*
What teachers have taught [COURSE] in the past?,[TEACHER]*
Does [COURSE] require programming experience?,Yes/No.
When should [COURSE] be taken based on the stat flowchart?,[TERM_YEAR]
Are there sections for [COURSE] that are open next quarter?,Yes/No.
Who is the highest ranked teacher teaching [COURSE]?,[TEACHER]
Who is the lowest ranked teacher teaching [COURSE]?,[TEACHER]
What data science minor courses have [COURSE] as a prerequisite?,[COURSE]*
Do I need [COURSE] to complete the data science minor?,Yes/No.
Is [COURSE] an upper level or lower level course?,Upper level/Lower level.
When was the last time [COURSE] was offered?,[TERM_YEAR]
Is [COURSE] an upper level course?,Yes/No.
Is [COURSE] a lower level course?,Yes/No.
When should I take [COURSE]?,"This years flowchart can be found here: [LINK], other years can be found here: [LINK]."
What is [COURSE]?,[TEXT]
When is [COURSE] typically offered?,[TERM]
How many units is [COURSE]?,[TERM]
Does the department offer [COURSE].,Yes/No.
What class is [COURSE]?,[COURSE DESCRIPTION].
What will I learn in [COURSE]?,[COURSE DESCRIPTION].
Is there a class on [COURSE]?.,"Yes, the class is [COURSE NUMBER]./No."
What class is [COURSE]?,[COURSE NUMBER].
What is the name of [COURSE]?,[COURSE NAME].
How many units is [COURSE]?,[INTEGER] units.
Are there any workshops or study sessions available for [COURSE]?,Refer to the [AREA] bot.
What are the prerequisites for [COURSE]?,"The prerequisites for [COURSE-NAME] are [DEPARTMENT-NAME] [COURSE-NUM], [DEPARTMENT-NAME] [COURSE-NUM], and [DEPARTMENT-NAME] [COURSE-NUM]."
What courses are needed to take [COURSE]?,"The prerequisites for [COURSE-NAME] are [DEPARTMENT-NAME] [COURSE-NUM], [DEPARTMENT-NAME] [COURSE-NUM], and [DEPARTMENT-NAME] [COURSE-NUM]."
How many units is [COURSE]?,[DEPARTMENT-NAME] [COURSE-NUM] [COURSE-NAME] is worth [NUM-UNITS].
How much credits is [COURSE] worth?,[DEPARTMENT-NAME] [COURSE-NUM] [COURSE-NAME] is worth [NUM-UNITS].
When is [COURSE] offered?,[DEPARTMENT-NAME] [COURSE-NUM] [COURSE-NAME] is typically offered in [TERM].
What is the number for [COURSE]?,The number for [COURSE-NAME] is [DEPARTMENT-NAME] [COURSE-NUM].
What courses have [COURSE] as a prerequisite?,[DEPARTMENT-NAME] [COURSE-NUM] [COURSE-NAME] is a prerequisite for [DEPARTMENT-NAME] [COURSE-NUM]...
What comes after [COURSE]?,[DEPARTMENT-NAME] [COURSE-NUM] [COURSE-NAME] is a prerequisite for [DEPARTMENT-NAME] [COURSE-NUM]...
What is the description for [COURSE]?,The description of [DEPARTMENT-NAME] [COURSE-NUM] [COURSE-NAME] is [COURSE-DESC].
Who should I take [COURSE] with?,"Based on PolyRatings, [PROFESSOR] is the best professor for this course with a score of [POLY-SCORE]"
Who typically teaches [COURSE]?,The following professors have taught [CSSE-COUSE-NAME]: [PROFESSOR]...
Does [COURSE] have any non CS/SE prerequisites?,Yes. They are [DEPARTMENT-NAME] [COURSE-NUM]... / No
Does [COURSE] have a lab?,Yes it is [NUM-UNITS] units/No
Is [COURSE] offered on a Credit/No Credit basis?,Yes/No
Is there a grade prerequesite for [COURSE]?,"Yes, it is a C- or better in [DEPARTMENT-NAME] [COURSE-NUM]"
Does [COURSE] have any corequisites?,"Yes, they are [DEPARTMENT-NAME] [COURSE-NUM]..."
Does [COURSE] have any concurrent enrollements?,"Yes, they are [DEPARTMENT-NAME] [COURSE-NUM]..."
How is [COURSE] listed?,The number for [COURSE-NAME] is [DEPARTMENT-NAME] [COURSE-NUM].
Who is the best professor for [COURSE] with?,"Based on PolyRatings, [PROFESSOR] is the best professor for this course with a score of [POLY-SCORE]"
Which professors have taught [COURSE]?,The following professors have taught [CSSE-COUSE-NAME]: [PROFESSOR]...
Which quarter is [COURSE] typically offered?,[COURSE-NAME] is typically offered in [TERMS]
Does [COURSE] have a prerequisite from another department?,"If yes: Yes, [COURSE-NAME] has prerequieites from [DEPARTMENTS]"
What course number does [COURSE] have?,[COURSE-NAME] has number [COURSE-NUMBER]
What course name does [COURSE] have?,[COURSE-NUM] has name [COURSE-NAME]
How many units of lab does [COURSE] have?,[COURSE-NAME] has [NUM-UNITS] units
Are there any recommended classes for [COURSE]?,"if yes: Yes, they are [COURSE-NAMES]"
Does [COURSE] require consent of instructor?,Yes/No
Is [COURSE] corsslisted?,"if yes: Yes, it is crosslisted as [DEPARTMENT-NAME][COURSE-NUM]"
Which departments does [COURSE] have prerequisites in?,[COURSE-NAME] have prerequisites in these departments: [DEPARTMENTS]
Does [COURSE] fulfill any GE requirements?,If yes: [COURSE-NAME] fulfills GE requirement [GE-AREA]
On what level is [COURSE]?,[COURSE-NAME] is on level [LEVEL]
Which courses require [COURSE],The following courses require [COURSE-NAME]: [DEPARTMENT-NAME][COURSE-NUM][COURSE-NAME]...
Who is the best professor to take for [COURSE]?,[CSSE-Faculty] has the highest PolyRating - [Rating] - of all professors that teach [CSSE-Course].
Who should I take [COURSE] with?,[CSSE-Faculty] has the highest PolyRating - [Rating] - of all professors that teach [CSSE-Course].
Who teaches [COURSE]?,The next professors teaching [CSSE-Course] are [CSSE-Faculty-List].
Who is usually the professor for [COURSE]?,"Recently, [CSSE-Course] has been taught by [CSSE-Faculty-List]."
Who has taught [COURSE] in the past?,[CSSE-Faculty-List] have taught [CSSE-Course].
What is the highest rated polyrating professor for [COURSE]?,[Instructor] is the highest rated professor for [Course].
What is the highest rated polyrating professor that is currently teaching [COURSE]?,[Instructor] is the highest rated professor currently teaching [Course].
What is the highest rated polyrating professor that taught [COURSE] last quarter?,[Instructor] is the highest rated professor that taught [Course] last quarter.
What is the highest rated polyrating professor that is scheduled to teach [COURSE] next quarter?,[Instructor] is the highest rated professor that teaching [Course] next quarter.
What is the lowest rated polyrating professor for [COURSE]?,[Instructor] is the lowest rated professor for [Course].
What is the lowest rated polyrating professor that is currently teaching [COURSE]?,[Instructor] is the lowest rated professor currently teaching [Course].
What is the lowest rated polyrating professor that taught [COURSE] last quarter?,[Instructor] is the lowest rated professor that taught [Course] last quarter.
What is the lowest rated polyrating professor that is scheduled to teach [COURSE] next quarter?,[Instructor] is the lowest rated professor that teaching [Course] next quarter.
How many professors teach [COURSE]?,[N] instructors teach [Course].
Which professors teach [COURSE]?,[Instructors] teach [Course].
What professor(s) typically teach [COURSE]?,[Instructors] typically teach [Course].
What professor(s) teach [COURSE] this quarter?,[Instructors] are teaching [Course] this quarter.
Which professors are teaching [COURSE] next quarter?,[Instructors] are teaching [Course] next quarter.
Who are the professors teaching [COURSE] next quarter?,[Instructors] are teaching [Course] next quarter.
Can I get tutoring in [COURSE]?,[STATTUTCONF].
Is tutoring available for [COURSE]?,[STATTUTCONF].
Is tutoring provided for [COURSE]?,[STATTUTCONF]
"During Stat tutoring, can I get help with [COURSE]",[STATTUTCONF]
What courses is [PROF] teaching this quarter?,"This quarter, [PROF] is teaching [COURSE_LIST]."
What courses is [PROF] teaching next quarter?,"Next quarter, [PROF] is teaching [COURSE_LIST]."
What is [PROF] schedule like this quarter?,"[PROF] will be teaching [COURSE_1] at [TIME], [COURSE_2] at [TIME], ... this quarter"
What is [PROF] schedule like next quarter?,"[PROF] will be teach [COURSE_1] at [TIME], [COURSE_2] at [TIME], ... next quarter"
How many courses is [PROF] teaching?,[PROF] is teaching [NUMERIC] classes. He will be teaching [COURSE_LIST]
What are [PROF]'s research areas?,[teacher]s research areas are [research areas].
How many research areas does [PROF] have?,[teacher] has [num research areas].
How many proposals has [PROF] written at Cal Poly?,[teacher] was written [num] proposals at Cal Poly.
Does [PROF] have a website?,[yes/ no] [teacher] [does/ does not] have a website.
What is [PROF]'s website?,[website] is [teacher]s website.
Where can I learn more about [PROF]?,[website] is [teacher]s website.
Does [PROF] have a Cal Poly website?,"[yes/no], [teacher] [has/ doesnt have] a Cal Poly website."
What classes does [PROF] teach?,[teacher] teaches the following classes: [classes].
What buildings does [PROF] teach in?,[teacher] teaches in [building list].
How many students does [PROF] currently teach between all their classes?,[teacher] teaches [num students] in all their classes.
What time are all [PROF]'s classes taught?,[teacher] teaches at [class times].
What classes are [PROF] teaching next quarter?,[teacher] is teaching [class list] next quarter.
When are [PROF]'s office hours?,[teacher]s office hours are [days: times].
Does [PROF] have office hours right now?,[yes/no] [teacher]s office hours are [day: time].
Does [PROF] have office hours later today?,[yes/no] [teacher]s office hours are [day: time].
Does [PROF] have office hours tomorrow?,[yes/no] [teacher]s office hours are [day: time].
Where is [PROF]'s office?,[teacher] has office hours in [office location]
How many office hours does [PROF] have this week?,[teacher] has [number of office hours] office hours.
What is [PROF]'s email?,[teachers]s email is [email].
How can I email [PROF]?,[teachers]s email is [email].
What is the email of [PROF]?,[teachers]s email is [email].
Is [PROF]'s email listed?,[yes/no].
What is [PROF]'s average PolyRating?,[teacher]s PolyRating is [PolyRating].
What classes does [PROF] have PolyRatings for?,[teacher] has PolyRatings for [classes].
How many PolyRatings does [PROF] have?,[teacher] has [number of PolyRatings] PolyRatings.
Is [PROF] reviewed on PolyRatings?,"[yes/no], [teacher] [is/isnt] reviewed on PolyRatings."
Does [PROF] have a PolyRating?,"[yes/no], [teacher] [does/doesnt] have a PolyRating."
When is the most recent PolyRating for [PROF]?,The most recent PolyRating for [teacher] is: [review].
What level of professor is [PROF]?,[teacher] is a [level].
List all [PROF] level professors.,[teacher] [is/are] [level].
Is [PROF] a professor at Cal Poly?,"[yes/no], [teacher] [is/isnt] a professor at Cal Poly."
What is professor [PROF]'s first name?,[teacher]s first name is [first name]
Does [PROF] currently teach at Cal Poly?,"[yes/no], [teacher] [does/doesnt] currently teach at Cal Poly."
What is [PROF]'s phone number?,[teacher]s phone number is [phone number].
What is the phone number for [PROF]?,[teacher]s phone number is [phone number].
How many phone numbers are listed for [PROF]?,[teacher] has [num] phone numbers.
Does [PROF] have a phone number listed?,"[yes/no], [teacher] [does/doesnt] have a phone number listed."
Is there a phone number listed for [PROF]?,"[yes/no], there [is/isnt] a phone number listed for [teacher]."
Which courses does [PROF] teach?,[PROFESSOR] teaches: [COURSE-NAMES]
What is [PROF]'s poly rating?,[PROFESSOR]'s PolyRating is: [POLY-SCORE]
Is [PROF] a faculty advisor?,The faculty advisors are [person].
What are the research interests of [PROF]?,[CSSE-Faculty] is interested in [CSSE-Research-Area-List].
What research areas are [PROF] interested in?,[CSSE-Faculty] is interested in [CSSE-Research-Area-List].
What is [PROF] researching?,[CSSE-Faculty]'s research interests are [CSSE-Research-Area-List]. Some recent papers they have published are [Paper-List].
What is [PROF]'s poly rating?,[CSSE-Faculty] has a PolyRating of [Rating].
What is the average polyrating of [PROF]?,[CSSE-Faculty] has a PolyRating of [Rating].
What is [PROF] rated on polyratings?,[CSSE-Faculty] has a PolyRating of [Rating].
How good of a professor is [PROF]?,"All Cal Poly professors are great, but [CSSE-Faculty] has a PolyRating of [Rating]."
Is [PROF] a good professor?,"All Cal Poly professors are great, but [CSSE-Faculty] has a PolyRating of [Rating]."
Is [PROF] well liked?,[CSSE-Faculty] has a polyrating of [Rating].
Which of [PROF] has the highest polyrating?,[CSSE-Faculty] has the highest PolyRating.
What is the URL for [PROF]'s polyratings?,[CSSE-Faculty]'s PolyRatings page can be found at [URL].
How many courses is [PROF] teaching?,"This quarter, [CSSE-Faculty] is teaching [Number] courses."
How many different classes will [PROF] teach next quarter?,"Next quarter, [CSSE-Faculty] will teach [Number] different courses."
What courses has [PROF] taught?,"In the last year, [CSSE-Faculty] has taught [CSSE-Course-List]."
What courses does [PROF] teach?,"In the last year, [CSSE-Faculty] has taught [CSSE-Course-List]. This quarter, they are teaching [CSSE-Course-List]."
What is [PROF] teaching this quarter?,[CSSE-Faculty] is teaching [CSSE-Course-List].
Is [PROF] teaching any classes this quarter?,"Yes, they are teaching [CSSE-Course-List]./No."
Where is [PROF] teaching right now?,[CSSE-Faculty] is currently teaching [CSSE-Course] in [Room]./[CSSE-Faculty] is not currently teaching.
Where will [PROF] be teaching next?,[CSSE-Faculty] will be teaching [CSSE-Course] in [Room] at [Time].
Where did [PROF] go to school?,[CSSE-Faculty] attended [University] as an undergraduate and [University] for their [Degree-Type].
What degrees does [PROF] have?,[CSSE-Faculty has a [Degree-List].
What schools has [PROF] attended?,[CSSE has attended [University-List].
Who are the [PROF] in the CSSE program at Cal Poly?,[CSSE-Faculty-List] are the CSSE [Faculty-Type] at Cal Poly.
What school did [PROF] get their degree from?,[CSSE-Faculty] got their [Degree] from [University].
How many degrees does [PROF] have?,[CSSE-Faculty] has [Number] degrees.
How long has [PROF] taught at Cal Poly?,[CSSE-Faculty] has taught at Cal Poly for [Number] years.
What year did [PROF] start at Cal Poly?,[CSSE-Faculty] started teaching at Cal Poly in [Year].
When did [PROF] start teaching at Cal Poly?,[CSSE-Faculty] started teaching at Cal Poly in [Year].
Did [PROF] study at Cal Poly?,Yes./No.
When was [PROF] a professor at Cal Poly?,[CSSE-Faculty] was a professor at Cal Poly from [Date-Range].
What is the highest degree of [PROF]?,[CSSE-Faculty]'s highest degree is [Degree-Type].
Where did [PROF] get their most recent degree?,[CSSE-Faculty] got their most recent degree from [University].
What is [PROF]'s highest degree?,[CSSE-Faculty] got their [Degree-Type] from [University].
Is [PROF] still working at Cal Poly?,"Yes./No, they retired in [Year]."
Does [PROF] still teach at Cal Poly?,"Yes./No, they retired in [Year]."
Has there ever been a professor [PROF] in Cal Poly CSSE?,Yes./No.
Did [PROF] ever teach in the computer science department?,Yes./No.
What published research projects does [PROF] have?,[CSSE-Faculty] has published [Paper-List].
How many research papers has [PROF] submitted for Cal Poly?,[CSSE-Faculty] has submitted [Number] papers.
What papers has [PROF] contributed to the Cal Poly Digital Commons?,[CSSE-Faculty] has published [Paper-List].
Has [PROF] published any papers?,"Yes, they have published [Paper-List]./No."
What research papers has [PROF] written?,[CSSE-Faculty] has published [Paper-List].
What senior projects has [PROF] advised?,[CSSE-Faculty] has advised [Senior-Project-List].
How many senior projects has [PROF] advised?,[CSSE-Faculty] has advised [Number] senior projects.
What senior projects did [PROF] advise last year?,[CSSE-Faculty] advised [Senior-Project-List] in [Year].
Whose senior projects has [PROF] advised?,[CSSE-Faculty] has advised [Student-List].
What is the average length of papers published by [PROF]?,[CSSE-Faculty]'s papers are an average of [Number] pages long.
Where can I learn more about [PROF]'s research?,[CSSE-Faculty]'s most recent paper can be found at [URL] and their personal website is [URL].
In what journals has [PROF] been published?,[CSSE-Faculty] has been published in [Journal-List].
What journals has [PROF] published papers in?,[CSSE-Faculty] has been published in [Journal-List].
What is [PROF]'s email?,[CSSE-Faculty]'s email is [Email].
How can I contact [PROF]?,[CSSE-Faculty]'s email is [Email] and their phone number is [Phone-Number].
What is [PROF]'s contact information?,[CSSE-Faculty]'s email is [Email] and their phone number is [Phone-Number].
What is [PROF]'s phone number?,[CSSE-Faculty]'s phone number is [Phone-Number].
What number do I call to reach [PROF]?,[CSSE-Faculty]'s phone number is [Phone-Number].
How can I reach [PROF]?,[CSSE-Faculty]'s email is [Email] and their phone number is [Phone-Number].
Where is [PROF]'s office?,[CSSE-Faculty]'s office is [CSSE-Office-Number].
In what room is [PROF]'s office?,[CSSE-Faculty]'s office is [CSSE-Office-Number].
Where can I find [PROF]'s website?,[CSSE-Faculty]'s website is [URL].
Does [PROF] have a personal website?,[CSSE-Faculty]'s website is [URL].
What is [PROF]'s home page?,[CSSE-Faculty]'s website is [URL].
What is the email address of [PROF]?,[CSSE-Faculty]'s email is [Email].
What is the office of [PROF]?,[CSSE-Faculty]'s office is [CSSE-Office-Number].
What are the names and emails of all computer science [PROF]?,Their names and emails are: [CSSE-Faculty-Email-List].
Who are the computer science [PROF]s at Cal Poly?,They are [CSSE-Faculty-List].
Who shares an office with [PROF]?,[CSSE-Faculty] shares an office with [CSSE-Faculty].
Does anyone share an office with [PROF]?,"Yes, [CSSE-Faculty] shares an office with [CSSE-Faculty]./No."
What time are [PROF]'s office hours?,[CSSE-Faculty]'s office hours are [Office-Hours].
When can I visit [PROF]'s office?,[CSSE-Faculty]'s office hours are [Office-Hours].
Is [PROF] hosting office hours right now?,"Yes, until [Time]./No."
Is [PROF] in their office now?,"Yes, until [Time]./No."
What is the job title of [PROF]?,[CSSE-Faculty] is a [Faculty-Type].
Is [PROF] a lecturer or a professor?,[CSSE-Faculty] is a [Faculty-Type].
What is the position of [PROF]?,[CSSE-Faculty] is a [Faculty-Type].
What is [PROF]'s job at Cal Poly?,[CSSE-Faculty] is a [Faculty-Type].
"In the CSSE department, how many faculty members are [PROF]?",There are [Number] [Faculty-Type]s in the CSSE department.
How many computer science [PROF] are there at Cal Poly?,There are [Number] [Faculty-Type]s in the CSSE department.
Who are the professors with the last name [PROF]?,[CSSE-Faculty-List] have the last name [CSSE-Faculty].
Where is [PROF] right now?,[CSSE-Faculty] is in [Room] until [Time].
"At the moment, where is [PROF]?",[CSSE-Faculty] is in [Room] until [Time].
Where is [PROF] currently?,[CSSE-Faculty] is in [Room] until [Time].
Where is the next place I can find [PROF]?,[CSSE-Faculty] will be in [Room] from [Time] to [Time].
When can I next find [PROF] on campus?,[CSSE-Faculty] will be in [Room] from [Time] to [Time].
What are [PROF]'s personal interests?,[Instructor] is interested in [Interests].
What are [PROF]'s professional distinctions?,[Instructor]s professional distinctions are [Distinctions]
Where did [PROF] get their BS?,[Instructor] recieved their BS at [Univesity].
Which school did [PROF] get their BS at?,[Instructor] received their BS at [University].
Which school did [PROF] get their Master's at?,[Instructor] received their Master's at [University].
Where did [PROF] get their Master's?,[Instructor] received their Master's at [University].
Where did [PROF] get their doctorate?,[Instructor] received their doctorate at [University].
Which school did [PROF] get their doctorate at?,[Instructor] received their doctorate at [University].
When did [PROF] get their BS?,[Instructor] received their BS on [Date].
What year did [PROF] get their BS?,[Instructor] received their BS on [Date].
